,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,Lat,Long
28928,1267623,NEW YORK,RW,341,841936,MISOYA (NY) INC,TOTTO RAMEN,366 W 52ND ST,EASTSIDE,NEW YORK,NY,10019,02/06/2020,02/28/2022,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.764457,-73.9875901
28929,1274006,NEW YORK,OP,252,912748,MN BUSINESS GROUP INC,ADAR LOUNGE,1637 PARK AVE,STORE C,NEW YORK,NY,10029,11/14/2019,11/30/2021,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR","Hours: 12pm to 12am Mon.-Sat., 12pm to 1am Sunday ",Recorded Music ,,40.798966,-73.9431794
28931,1221377,NEW YORK,OP,252,912295,LITTLE ITALY SPEAK EASY INC. & AUNT JAKE'S LLC,AUNT JAKE'S,149 MULBERRY STREET,HESTER & GRAND STREET,NEW YORK,NY,10013,10/25/2019,10/31/2021,ON PREMISES LIQUOR WINE BEER AND CIDER,"CB Stips: Hours Sun-Wed: 11am-12am, Th: 7am-12am, Fri and Sat: 7am-2am, Rear Courtyard Closes hours: btwn 11am-11pm Sun-Th, close by 12am F-Sa","Recorded Music, No Dancing, Food Served;Sidewalk cafe Permitted for San Gennaro Feast 2016 Only to close by 10pm if on a Sun-Thurs, and by 11pm if on a Fri or Sat",,40.7190597,-73.997622497837
28962,1167865,NEW YORK,OP,252,912272,BUFFANNA INC,IL PICCOLO BUFALO,141 MULBERRY STREET,GRAND & HESTER STREETS,NEW YORK,NY,10013,10/24/2019,10/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,SIDEWALK CAFE PERMITTED FOR MULBERRY ST MALL/SAN GENNARO FEAST 2016 ONLY,,,40.718827899999994,-73.9978114682325
28963,1026777,NEW YORK,OP,252,910917,TARO REST INC,DUE,1396 3RD AVENUE,,NEW YORK,NY,10021,03/20/2020,12/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.774700249999995,-73.9573361225128
28981,1024986,NEW YORK,OP,252,914600,WASHINGTON PLACE LLC,BLUE HILL RESTAURANT,75 WASHINGTON PLACE,,NEW YORK,NY,10011,01/27/2020,02/28/2022,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,,,,40.7320396,-73.9995703
28982,1296997,NEW YORK,OP,252,907559,IPPUDO NY LLC,,24 W 46TH ST,,NEW YORK,NY,10036,07/08/2019,07/31/2021,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,,Recorded Music,,40.7564517,-73.9804099
28985,1147010,NEW YORK,OP,252,914898,NEW LOUNGE 4324 LLC,BOUNCE SPORTING CLUB,55 WEST 21ST STREET,5TH  AVENUE & 6TH AVENUE,NEW YORK,NY,10010,02/03/2020,02/28/2022,TAVERN SERVING LIQUOR BEER CIDER & WINE,,,,40.7413895,-73.9929254
29000,1252203,NEW YORK,OP,252,913417,SATO INC,MOLE BY TACO TACO,1735 2ND AVE,,NEW YORK,NY,10128,12/05/2019,12/31/2021,RESTAURANT SERVING LIQUOR BEER CIDER AND WINE,,,,40.7802891,-73.9502159
29008,1225924,NEW YORK,AX,122,907938,MANHATTAN GROCERY CORP,,150 MANHATTAN AVE,106TH & 107TH ST,NEW YORK,NY,10025,09/04/2018,09/30/2021,OFF PREMISES BEER/WINE PRODUCTS,MOND-SUND 7AM TO 11:30PM,,,40.7078253,-73.9448747
29010,1022712,NEW YORK,DX,126,901759,RITE AID OF NEW YORK INC,RITE AID PHARMACY #4205,81 1ST AVENUE,,NEW YORK,NY,10003,06/12/2018,07/31/2021,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.7257727,-73.98704511868512
29013,1287277,NEW YORK,DX,126,900715,CVS ALBANY LLC,CVS PHARMACY # 10828,51 ASTOR PL,,NEW YORK,NY,10003,05/31/2018,06/30/2021,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.7301952,-73.9901520778179
29023,1265999,NEW YORK,EB,141,914362,RLJ C NY UPPR EASTSIDE LESSEE LLC & HIGHGATE HOTEL,COURTYARD NY MANHATTAN UPPER EAST SIDE,410 E 92ND ST,,NEW YORK,NY,10128,03/29/2019,03/31/2022,HOTEL EATING PLACE SERVING BEER & CIDER,,Recorded Music - No Dancing,,40.7802422,-73.946123
29030,1302058,NEW YORK,DX,126,900718,CVS ALBANY LLC,CVS/PHARMACY #10826,1440 BROADWAY,FLOORS 1 & 2,NEW YORK,NY,10018,05/31/2018,06/30/2021,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.7546126,-73.9859274
29040,1313305,NEW YORK,L,222,903625,CRU WINE & SPIRITS LLC,WHISKEY & WINE OFF 69,1321 2ND AVE,AKA 233 E 69TH ST,NEW YORK,NY,10021,12/05/2018,11/30/2021,LIQUOR STORE SELLING WINE & LIQUOR     ,,,,40.7672983,-73.95973045
29043,1315352,NEW YORK,A,122,904074,QMART GROCERY INC,QMART,4311 BROADWAY,,NEW YORK,NY,10033,04/22/2019,03/31/2022,GROCERY STORE SELLING BEER,,,,40.8519916,-73.9350299
29045,1027585,NEW YORK,OP,252,912014,MAZ MEZCAL INC,MAZ MEZCAL,316 E 86TH ST,,NEW YORK,NY,10028,10/18/2019,10/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7773911,-73.9510401
29055,1299517,NEW YORK,HL,242,909350,47TH STREET MANAGEMENT CO LLC,HOTEL EDISON,228 W 47TH ST,,NEW YORK,NY,10036,08/21/2019,08/31/2021,HOTEL SERVING LIQUOR WINE BEER AND CIDER,,Recorded Music Permitted and No Dancing,,40.759647,-73.98629435893783
29059,1269030,NEW YORK,AX,122,914722,RAMSES II DELI CORP,,732 10TH AVE,,NEW YORK,NY,10019,04/18/2019,04/30/2022,"GROCERY STORE SELLING BEER, CIDER AND WINE PRODUCTS",,,,40.7644911,-73.9916556
29061,1276591,NEW YORK,OP,252,915395,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL #1928,2298 BROADWAY,,NEW YORK,NY,10024,02/13/2020,02/28/2022,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",,NO DANCING,,40.7861966,-73.9778709
29064,1294605,NEW YORK,OP,252,913134,LA NACIONAL CAFE LLC,,239 W 14TH ST 1ST FL,,NEW YORK,NY,10011,11/25/2019,11/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER.","CB4 STIP: SUN-THUR 12PM-11PM, FRI-SAT 12PM-12AM",RECORDED MUSIC. NO DANCING. OUTDOOR PATIO.,,0.0,0.0
29068,1202692,NEW YORK,OP,252,914920,NEW DOCKS LLC,DOCKS RESTAURANT,633 3RD AVENUE,,NEW YORK,NY,10017,02/03/2020,02/28/2022,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,,40.749610000000004,-73.97464829494446
29079,1305642,NEW YORK,OP,252,912920,TATU LLC,STUDIO 151,151 AVENUE C,2ND FL,NEW YORK,NY,10009,11/20/2019,11/30/2021,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",6:00pm - 2:00am Sun-Tues 6:00pm - 4:00am Wed - Sat,Recorded/DJ Music  ,,40.725656150000006,-73.97803107370302
29083,1256282,NEW YORK,OP,252,911952,HUGHES MURRAY WALSH LLC,PHOENIX,447 E 13TH ST,,NEW YORK,NY,10009,10/17/2019,10/31/2021,RESTAURANT SERVING LIQUOR WINE CIDER & BEER,,,,42.72402785714286,-73.70622465306123
29092,1221001,NEW YORK,HL,242,910042,FORTUNA HOTEL CHELSEA LLC ,HOTEL HAYDEN,127 W 28TH ST,,NEW YORK,NY,10007,09/10/2019,09/30/2021,HOTEL SERVING BEER CIDER WINE & LIQUOR,24 Hours 7 Day/Week,,,40.74679925,-73.99172002044921
29117,1026257,NEW YORK,OP,252,913004,INISTIOGE INC,MCCOYS PUB,768 9TH AVE,,NEW YORK,NY,10019,11/21/2019,11/30/2021,TAVERN SERVING BEER WINE CIDER AND LIQUOR,,,,40.7642854,-73.98802190678654
29119,1145224,NEW YORK,OP,252,910646,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL #482,304 W 34TH ST,,NEW YORK,NY,100011632,12/03/2019,11/30/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7523682,-73.9943095
29121,1028631,NEW YORK,RL,241,915206,MAGEE MAHON CAFE INC,PIG 'N WHISTLE,58 W 48TH STREET,,NEW YORK,NY,10036,02/10/2020,02/28/2022,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,,40.7581616,-73.9805063
29124,1317133,NEW YORK,OP,252,889851,PROTA 92 REST LLC,,305 E 92ND ST,,NEW YORK,NY,10128,01/30/2020,12/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER",,Music: Recorded,,40.78163,-73.9483416
29128,1291672,NEW YORK,EB,141,912796,636 LEXINGTON TACOS LLC,DOS TOROS,636 LEXINGTON AVE,,NEW YORK,NY,10022,01/23/2019,01/31/2022,EATING PLACE SERVING BEER & CIDER,RECORDED MUSIC. NO DANCING.,,,40.7591865,-73.9706375
29151,1310251,NEW YORK,A ,122,883241,MI VIEJA DELI GROCERY CORP,,598 W 178TH ST,,NEW YORK,NY,10033,08/23/2018,07/31/2021,GROCERY STORE SELLING BEER ,,,,40.8471167,-73.9349397
29155,1024134,NEW YORK,OP,252,913332,S W MONTE INC,THE MERCURY LOUNGE,217 E HOUSTON ST,,NEW YORK,NY,10002,12/03/2019,12/31/2021,TAVERN SERVING BEER WINE CIDER AND LIQUOR,,,,40.7221035,-73.9867932
29163,1105353,NEW YORK,L,222,907748,"PORTUGUESE WINE HOUSE INC, THE",CASA OLIVEIRA,98 7TH AVE SOUTH,,NEW YORK,NY,10014,08/23/2018,09/30/2021,LIQUOR STORE SELLING WINE AND LIQUOR,,,,40.7328525,-74.0034567
29165,1019318,NEW YORK,A,122,908869,PRAKASHCHANDRA M SHAH,HAPPY GROCERY,967 1ST AVENUE,,NEW YORK,NY,10022,10/02/2018,10/31/2021,GROCERY STORE SELLING BEER & CIDER,,,,40.7559942,-73.964837
29168,1158217,NEW YORK,OP,252,912642,IL POSTO LLC,DEL POSTO,85 10TH AVE,16TH & 15TH STREETS,NEW YORK,NY,10011,11/08/2019,11/30/2021,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,,40.7434562,-74.0075595
29169,1289544,NEW YORK,RW,341,841296,EAST SEAFOOD INC,EAST SEAFOOD RESTAURANT,17 DIVISION ST,,NEW YORK,NY,10002,10/17/2019,10/31/2021,RESTAURANT SERVING WINE CIDER AND BEER,CB3 Stips: 11am to 12am All Days & all doors & windows to be closed by 10pm ,"Recorded Music Permitted, No Dancing",,40.713937650000005,-73.99661654499246
29182,1287076,NEW YORK,AX,122,902790,GREAT VALUE CONVENIENCE INC,FRESH FOOD,926 2ND AVE,UNIT #1,NEW YORK,NY,10022,07/06/2018,07/31/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.754289650000004,-73.96856884871482
29185,1273280,NEW YORK,OP,252,912616,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL #1962,7 11 W 27TH ST,,NEW YORK,NY,10001,11/07/2019,11/30/2021,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,,,,40.7443017,-73.9880877
29191,1288940,NEW YORK,AX,122,908791,243 W 34TH ST RETAIL CORP,7 ELEVEN STORE # 35895A,243 W 34TH ST,,NEW YORK,NY,10001,09/26/2018,11/30/2021,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,,,,40.7518729,-73.9920848
29197,1288533,NEW YORK,OP,252,916998,109 WASHINGTON STREET RESTAURANT LLC,SCHILLING,109 WASHINGTON ST,,NEW YORK,NY,10006,04/06/2020,04/30/2022,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,CB #1 Stips:  8am to 1am weekdays 8am-2am weekends,Recorded Backround music. No sidewalk cafe or caberet license,,40.708576449999995,-74.01401187090175
29199,1187161,NEW YORK,OP,252,906740,B FLAT INC,,277 CHURCH STREET,WHITE & FRANKLIN,NEW YORK,NY,100133486,06/05/2019,07/31/2021,RESTAURANT SERVING BEER CIDERWINE AND LIQUOR ,,,,40.71853745,-74.00477265
29204,1268053,NEW YORK,L,222,912821,CITYVINES INC,VERVE WINE,24 HUBERT ST,,NEW YORK,NY,10013,01/24/2019,01/31/2022,LIQUOR STORE SELLING WINE AND LIQUOR,,,,40.721558894736845,-74.01008060526316
29209,1285632,NEW YORK,RW,341,840387,TAKUMI TACO LLC,,230 PARK AVE,STALL 12,NEW YORK,NY,10169,07/08/2019,07/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.75439335,-73.97610284092127
29218,1167493,NEW YORK,OP,252,916279,49TH BROADWAY LLC,DALLAS BBQ,253 WEST 42ND ST,7TH AVENUE & 8TH AVENUE,NEW YORK,NY,10036,03/12/2020,03/31/2022,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,,40.7569181,-73.9886311
29219,1313041,NEW YORK,EB,141,903538,HMSDS USA CORP,CAFE WATER,130 WATER ST,,NEW YORK,NY,10005,11/09/2018,10/31/2021,EATING PLACE BEER SERVING BEER AND CIDER,,Recorded music permitted; No Dancing and No Sidewalk Cafe,,40.7056658,-74.0070321
29225,1148679,NEW YORK,EB,141,915074,ELSA LA REYNA DEL CHICHARRON INC,,"1249 ST NICHOLAS AVENUE, STORE",WEST 165TH ST & 168TH STREET,NEW YORK,NY,10032,04/30/2019,04/30/2022,RESTAURANT SERVING BEER & CIDER.,,,,40.8438081,-73.9379789
29234,2001353,ALBANY,RR,250,909578,AMTRAK N R P CORP,PENN STATION CAR 43,PENN STATION,UNDER OPTION B,NEW YORK,NY,10001,08/27/2019,09/30/2021,"RAILROAD CAR SERVING BEER, CIDER, WINE AND LIQUOR",,,,40.751037,-73.9906989
29235,1317635,NEW YORK,OP,252,889633,PAISLEY RESTAURANT LLC,PAISLEY ,429 GREENWICH ST,,NEW YORK,NY,10013,12/04/2019,11/30/2021,"RESTAURANT SERVING BEER, WINE, LIQUOR & CIDER",11a-1a (Sun-Thur); 11a-2a (Fri-Sat),"Recorded Background Music Only. No DJs, Live Music or Dancing",,40.7224433,-74.0095775
29238,1302910,NEW YORK,OP,252,913283,LA GOULUE 61 LLC,LA GOULUE,29 E 61ST ST,,NEW YORK,NY,10065,11/29/2019,11/30/2021,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,,CB Stips: No Bar crawls; No Sidewalk Cafe W/O Permit,,40.7648252,-73.96986435121127
29244,1291783,NEW YORK,OP,252,921584,MOE LARRY CHEESE LLC,LE COUCOU,138 LAFAYETTE ST,,NEW YORK,NY,10013,05/08/2020,04/30/2022,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR     ","CB2 Stips: Su-Tu 7am-1am, W-Sa 7am-2am; Close all doors and windows at 9pm; No Sidewalk cafe ",Recorded Background Music Only,,40.7191165,-74.00026700365157
29252,1317024,NEW YORK,RW,341,830879,BS MULBERRY LLC,BEYOND SUSHI,215 MULBERRY ST,,NEW YORK,NY,10012,07/03/2019,06/30/2021,"RESTAURANT SERVING WINE, BEER AND CIDER","CB stips: Su-Sa 11am-10pm, recorded music only","no outdoor area, televisions or unlimited drink specials",,40.722171349999996,-73.99636760810697
29255,1236405,NEW YORK,L,222,914487,HEIGHTS WINE AND SPIRITS CORP,,4474A BROADWAY,,NEW YORK,NY,10040,04/05/2019,04/30/2022,LIQUOR STORE,,,,0.0,0.0
29257,1303442,NEW YORK,OP,252,911703,BEANS & VINES CORP,,4799 BROADWAY,,NEW YORK,NY,10034,10/09/2019,08/31/2021,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,,Recorded/Live Music,,42.656537,-73.748564
29266,1254474,NEW YORK,RW,341,840539,MESKE INC,MESKE ETHIOPIAN RESTAURANT,468 W 47TH ST,,NEW YORK,NY,10036,07/24/2019,07/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,NO DANCING,,40.7626268,-73.9929733
29269,1314254,NEW YORK,AX,122,903781,PT FOOD CORP,PARK TERRACE DELI,510 W 218TH ST,,NEW YORK,NY,10034,01/17/2019,12/31/2021,GROCERY STORE SELLING BEER AND WINE PRODUCTS,,,,40.8712688,-73.914705
29270,1224452,NEW YORK,EB,141,901594,BON AMI INC,HUNTER DELI,966 LEXINGTON AVE,E 70TH & E 71ST STREETS,NEW YORK,NY,10021,06/11/2018,07/31/2021,DELI SELLING AND SERVING BEER AND CIDER,SUNDAY - SATURDAY/ 24 HOURS,,,40.7694011,-73.9631237
29271,1024938,NEW YORK,OP,252,912162,ONE ONE DOMESTIC CORPORATION,BASTA PASTA RESTAURANT,37 39 W 17TH STREET,GROUND FLOOR,NEW YORK,NY,10011,10/22/2019,10/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.738502673469384,-73.99339389795918
29276,1147503,NEW YORK,OP,252,915855,BIG BOWL LLC,FRAMES,625 8TH AVE ,2ND FLOOR,NEW YORK,NY,10018,03/02/2020,03/31/2022,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,,40.7568546,-73.99146523386412
29293,1316650,NEW YORK,LL,203,917611,BANVILLE & JONES WINE MERCHANTS INC,BANVILLE WINE MERCHANTS,126 E 38TH ST ,3RD FL,NEW YORK,NY,10016,07/03/2019,02/28/2022,WHOLESALE LIQUOR,,,,40.74892115,-73.97850436364655
29295,1318666,NEW YORK,OP,252,923617,TWO HANDS NOHO LLC,TWO HANDS,640 BROADWAY ,AKA 74 BLEECKER ST,NEW YORK,NY,10012,05/13/2020,04/30/2022,"RESTAURANT SERVING BEER, WINE, LIQUOR AND CIDER","M-Th Close 12mid, Fr-Sat close 1am, Sun close 10pm","No Security, No Dj, No Dancing",,40.7263387,-73.9957532
29297,1304088,NEW YORK,RW,341,842061,ZCL INC,LE SIA,11 E 7TH ST,,NEW YORK,NY,10003,03/06/2020,03/31/2022,RESTAURANT SERVING BEER CIDER AND WINE,CB stips: Hours: 11:30am-11pm 7 days a week; No outdoor space; Front and Rear windows to close at 10pm every night; Background music only,,,42.71409065306123,-73.70473722448979
29300,1143554,NEW YORK,RW,341,841133,ACOSTA DELI RESTAURANT INC,,934A AMSTERDAM AVE,,NEW YORK,NY,10025,09/30/2019,10/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,42.6794564,-73.7386599
29302,1027876,NEW YORK,OP,252,911164,NINTH AVENUE TOMATO INC,,635 9TH AVENUE,,NEW YORK,NY,10036,09/23/2019,09/30/2021,RESTAURANT SERVING LIQUR WINE  CIDER AND BEER,,,,40.7602417,-73.99164375809613
29303,1132987,NEW YORK,RW,341,840930,NEW LIFE SUSHI INC,SUSHI SEKI,1143 1ST AVE,,NEW YORK,NY,10021,09/09/2019,09/30/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.76196955,-73.96059209999999
29316,1321536,NEW YORK,OP,252,923557,JPDB HOSPITALITY LLC,MOONRISE IZAKAYA,774 AMSTERDAM AVE,,NEW YORK,NY,10025,04/28/2020,03/31/2022,"RESTAURANT SERVING WINE, LIQUOR, BEER, AND WINE",,Recorded Music; Licensed Sidewalk Cafe ,,40.7953361,-73.9696591
29317,1272895,NEW YORK,OP,252,913808,ALFA 64 INC,ALTESI RISTORANTE,26 E 64TH ST,,NEW YORK,NY,10065,12/24/2019,02/28/2022,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR",,"BACKGROUND MUSIC, NO DANCING PERMITTED",,40.76668905,-73.96957961671687
29322,1258268,NEW YORK,OP,252,916592,OBIKA NY MADISON LLC,OBICA MOZZARELLA BAR,590 MADISON AVE,,NEW YORK,NY,10022,03/23/2020,01/31/2022,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR ",,,,40.762157450000004,-73.97303314307712
29327,1319016,NEW YORK,DX,126,917890,CVS ALBANY LLC,CVS/PHARMACY #10933,161 AVENUE OF THE AMERICAS,,NEW YORK,NY,10013,11/06/2019,06/30/2021,"DRUG STORE SELLING BEER, WINE PRODUCTS AND CIDER",,,,40.7258262,-74.0041203
29328,1310458,NEW YORK,A,122,883055,DYCKMAN DELI & KWIK STOP INC,,201 DYCKMAN ST,,NEW YORK,NY,10040,07/03/2018,06/30/2021,GROCERY STORE SELLING BEER,,,,40.8647974,-73.9265725
29331,1271660,NEW YORK,OP,252,912535,NAUGHTY GULL LLC,THE CLAM,420 HUDSON ST,,NEW YORK,NY,10014,11/06/2019,11/30/2021,"RESTAURANT SERVING BEER, WINE CIDER AND LIQUOR",CB Stip: open 11:30 am to 12 Midnight 7 day a week,"Patrons to leave by 12 Midnight. No live music, DJ,Promoted events, or cover fee.  Doors and windows close at 10 pm.",,40.7303261,-74.0066641
29333,1025347,NEW YORK,OP,252,908543,P E C GROUP LTD,PEPOLINO,281 W BROADWAY,,NEW YORK,NY,10013,08/02/2019,09/30/2021,"TAVERN RESTAURANT SERVING BEER, CIDER WINE AND LIQUOR",,,,40.7207599,-74.0048947
29350,1302923,NEW YORK,OP,252,910793,LAND FORTUNE INC,LAND OF PLENTY,204 E 58TH ST ,,NEW YORK,NY,10022,01/30/2020,06/30/2021,"RESTAURANT SERVING BEER, WINE, LIQUOR & CIDER","Hours: M-F 11am-2am, sa & Su 12pm-2am; Close all doors/windows at 10p (Sun-Thur) and at 10:30p (Fri-Sat)","Recorded Background Music Only; No DJ, Live Music or Dancing",,40.644414530612245,-74.02145893877551
29355,1318038,NEW YORK,RW,341,830922,BLEEKER STREET PIZZA CORP,BLEECKER STREET PIZZA,69 71 7TH AVE S,,NEW YORK,NY,10014,09/04/2019,08/31/2021,"RESTAURANT SERVING WINE, BEER & CIDER","CB 2 Stips: Close Su-W 1am, Th-Sa 2am",Music:  Recorded Only: No Sidewalk Cafe W/O Permit,,40.7319848,-74.0036018
29360,1289526,NEW YORK,RW,341,841783,SEASONED VEGAN LLC,,55 ST NICHOLAS AVE,,NEW YORK,NY,10026,12/20/2019,11/30/2021,RESTAURANT SERVING WINE AND BEER CIDER,,"Recorded Music Permitted, No Dancing",,40.8005894,-73.9527099
29365,1271324,NEW YORK,TW,344,924898,YOURE ALMOST THERE INC,BIBI,211 E 4TH ST,,NEW YORK,NY,10009,02/26/2020,03/31/2022,TAVERN WINE BAR SERVING WINE CIDER AND BEER,Fb Stip: 2am closing 7 days a week,"RECORDED MUSIC PERMITTED, NO DANCING",,40.7238517,-73.983598
29369,1291584,NEW YORK,CW,343,923619,ALLIANCE FOR DOWNTOWN NEW YORK INC,LMHQ,150 BROADWAY,20TH FL,NEW YORK,NY,10038,12/24/2019,01/31/2022,CLUB SERVING BEER CIDER & WINE ONLY ,CB 1 Stips: Bar Service 6pm-12am M-Fr 12pm-12am Sa-Su,"Live & Recorded Music, DJ with Patron Dancing ",,40.7091607,-74.0103076
29372,1262153,NEW YORK,OP,252,917194,251 WEST 51 HOSPITALITY CORP,MCHALE'S PUB,251 W 51ST ST,,NEW YORK,NY,10019,04/20/2020,04/30/2022,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR",,Recorded music only,,40.7627917,-73.9850724
29378,1274764,NEW YORK,RW,341,841950,GREY DOG CARMINE INC,GREY DOG,49 CARMINE ST,,NEW YORK,NY,10014,02/11/2020,02/28/2022,RESTAURANT SERVING BEER CIDER AND WINE,CB stip: hours will be 7am - 11:30 pm; 7 days a week; there will never be a backyard garden,recorded music,,40.7300039,-74.003915
29387,1306506,NEW YORK,OP,252,912669,8 TUXEDOS INC,"CHINESE TUXEDO, PEACHY'S",5 DOYERS ST, ,NEW YORK,NY,10013,11/12/2019,11/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER","FB Stips: Hrs10am-1am, all days; No live music/entertainment with cover charge","FB Stips: Recorded Music Permitted, No Dancing, Live music, DJs or promoted events",,40.7143302,-73.9980357
29389,1181346,NEW YORK,CL,243,910134,CITIZENS ARTS CLUB INC,NORWOOD,241 W 14TH STREET,7TH AVENUE & 8TH AVENUE,NEW YORK,NY,10011,09/12/2019,09/30/2021,CLUB RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Licensed Back Yard - To close by 10 pm with no more than 20 people,members only,,40.7394159,-74.0013111
29399,1267387,NEW YORK,RW,341,841974,168 BOWERY HOLDING LLC & NOM WAH NOLITA INC,NOM WAH NOLITA,168 BOWERY,,NEW YORK,NY,10012,02/19/2020,02/28/2022,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.7202561,-73.9942838
29409,1274865,NEW YORK,OP,252,913923,NEW OOKI SUSHI INC,OOKI SUSHI JAPANESE CUISINE & BAR,1575 3RD AVE,,NEW YORK,NY,10128,12/30/2019,01/31/2022,"RESTAURANT SERVING BEER, CIDER WINE AND LIQUOR ",Recorded Music ,No Outdoor Area,,40.7803007,-73.95257219999999
29442,1270518,NEW YORK,RW,341,840142,EARLS BEER & CHEESE LLC,,1259 PARK AVE,,NEW YORK,NY,10029,06/10/2019,07/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,CB11 Stip: Basement to operate SA & SU 11AM-6PM,"Recorded Music, No Smoking Permitted or Outside Area",,40.7873298,-73.9515959
29444,1303562,NEW YORK,OP,252,907729,CENTRE HOWARD LLC,NICKEL & DINER,1 HOWARD ST ,,NEW YORK,NY,10013,07/11/2019,07/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER",CB2 Stips: Sun-Wed 7am-12am; Thurs-Sat 7am-1am,Recorded Background Music Only; Licensed Sidewalk Cafe ,,40.7188128,-73.9995074
29445,1268280,NEW YORK,OP,252,912452,GRILL ON 2ND LLC,TUTTLES,735 2ND AVE,,NEW YORK,NY,10016,11/01/2019,10/31/2021,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",Close by 2am all seven days per week; Garden & Terrace to close by 11pm all seven days per week ,No music outside; All doors & windows closed at 10pm on Sun-Thur and by 11pm on Fri & Sat,,40.7482371,-73.9735992
29463,1319499,NEW YORK,OP,252,889845,ZEROSPACE HOLDINGS LLC & MFB EVENTS LLC,ZEROSPACE,136 WEST 33RD ST,AKA 401 7TH AVE AKA 15 PENN PL,NEW YORK,NY,10001,01/29/2020,12/31/2021,"CAFE SERVING LIQUOR, WINE, BEER AND CIDER ",,Recorded Music Permitted - DJ & Live Music Permitted for Special Events only; Dancing  Permitted at Special Events only; No Sidewalk Cafe,,40.7501271,-73.990878
29470,1261751,NEW YORK,AX,122,903102,55 FULTON MARKET INC,55 FULTON MARKET BY KEY FOOD,55 FULTON ST,,NEW YORK,NY,10038,07/23/2018,07/31/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.7087325,-74.0046656
29471,1291687,NEW YORK,OP,252,914423,143 CAFE INC,TOSCANA 49,143 E 49TH ST,,NEW YORK,NY,10017,01/21/2020,02/28/2022,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR.",CB6 STIP:  12PM-11PM ALL DAYS.,RECORDED MUSIC. NO DANCING.,,40.7557306,-73.9722031
29505,1195124,NEW YORK,OP,252,911422,TEQUILA CHITO'S MEXICAN GRILL INC,TEQUILA CHITO'S MEXICAN GRILL,358 W 23RD ST,B/N 8TH & 9TH AVENUES,NEW YORK,NY,10011,09/27/2019,09/30/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7461064,-74.0008419
